name,url,lean,score
Carnegie Endowment for International Peace,/news-source/carnegie-endowment-international-peace,Center,
Carrie Severino,/news-source/carrie-severino-media-bias,Lean Right,
Carrie Lukas,/news-source/carrie-lukas,Right,
Catholic Digest,/news-source/catholic-digest-media-bias,Lean Right,2.0
Casper Star-Tribune,/news-source/casper-star-tribune-media-bias,Center,
Catholic News Service,/news-source/catholic-news-service-media-bias,Center,0.3
Catholic News Agency,/news-source/catholic-news-agency-media-bias,Right,4.0
Cato Institute,/news-source/cato-institute,Lean Right,
Cathy Young,/news-source/cathy-young-media-bias,Lean Right,
CBN,/news-source/cbn,Right,4.0
CBC News,/news-source/cbc-news-media-bias,Lean Left,-2.0
Cecil Whig,/news-source/cecil-whig-media-bias,Center,
CBS News (Online),/news-source/cbs-news-media-bias,Lean Left,-1.5
Center for Countering Digital Hate,/news-source/center-countering-digital-hate-media-bias,Left,
Center For American Progress,/news-source/center-american-progress,Lean Left,
Center for Media & Democracy PR Watch,/news-source/center-media-democracy-pr-watch,Lean Left,
Center for Humane Technology,/news-source/center-humane-technology-media-bias,Center,
Center for Strategic and Budgetary Assessments,/news-source/cent-strategic-and-budgetary-assessments,Lean Right,
Center for Public Integrity,/news-source/center-public-integrity,Lean Left,-2.0
Center Post Dispatch,/news-source/center-post-dispatch-media-bias,Center,
Center on Budget and Policy Priorities,/news-source/center-budget-and-policy-priorities-0,Left,
Chadwick Moore,/news-source/chadwick-moore-media-bias,Right,
Centre View,/news-source/centre-view,Lean Left,-2.0
Chan Lowe (cartoonist),/news-source/chan-lowe-cartoonist,Left,
Chalkbeat,/news-source/chalkbeat-media-bias,Center,
Charles Blow,/news-source/charles-blow,Lean Left,
Charisma Magazine,/news-source/charisma-magazine-media-bias,Right,4.0
Charles Fried,/news-source/charles-fried-media-bias,Center,
Charles C. W. Cooke,/news-source/charles-c-cooke-media-bias,Right,
Charles Lane,/news-source/charles-lane-media-bias,Center,
Charles Krauthammer,/news-source/charles-krauthammer,Lean Right,
Charlie Kirk,/news-source/charlie-kirk-media-bias,Right,
Charleston City Paper,/news-source/charleston-city-paper-media-bias,Center,
Check Your Fact,/news-source/check-your-fact-media-bias,Center,
Chattanooga Times Free Press,/news-source/chattanooga-times-free-press-media-bias,Center,
Chicago Crusader,/news-source/chicago-crusader-media-bias,Left,-4.0
Chicago Booth Initiative on Global Markets,/news-source/chicago-booth,Mixed,
Chicago Sun-Times,/news-source/chicago-sun-times,Lean Left,-2.0
Chicago Defender,/news-source/chicago-defender-media-bias,Left,-4.0
Children’s Defense Fund,/news-source/childrens-defense-fund,Left,
Chicago Tribune,/news-source/chicago-tribune,Center,
Children’s Defense Fund,/news-source/childrens-defense-fund,Left,
Chip Bok (cartoonist),/news-source/chip-bok-cartoonist,Right,
Chris Britt (cartoonist),/news-source/chris-britt-cartoonist,Center,
Chip Bok (cartoonist),/news-source/chip-bok-cartoonist,Right,
Chris Ruddy,/news-source/chris-ruddy,Right,
Chris Cillizza,/news-source/chris-cillizza-media-bias,Lean Left,
Christian Coalition of America,/news-source/christian-coalition-america-media-bias,Lean Right,2.0
Chris Wallace,/news-source/chris-wallace-media-bias,Center,
Christian News Network,/news-source/christian-news-network-media-bias,Right,4.0
Christian Headlines,/news-source/christian-headlines-media-bias,Center,
Christian Science Monitor,/news-source/christian-science-monitor,Center,-0.3
Christian News Now,/news-source/christian-news-now-media-bias,Lean Right,2.0
Christianity Today,/news-source/christianity-today-media-bias,Lean Right,2.0
Christiane Amanpour,/news-source/christiane-amanpour,Lean Left,
Christopher Buskirk,/news-source/christopher-buskirk-media-bias,Lean Right,
Christopher Barnard,/news-source/christopher-barnard-media-bias,Lean Right,
Church Militant,/news-source/church-militant-media-bias,Right,4.0
Chuck Asay (cartoonist),/news-source/chuck-asay-cartoonist,Right,
Cincinnati Enquirer,/news-source/cincinnati-enquirer-media-bias,Center,
ChurchLeaders.com,/news-source/churchleaderscom-media-bias,Center,
Civic Genius,/news-source/civic-genius-media-bias,Center,
City Journal,/news-source/city-journal-media-bias,Right,4.0
Civil Squared,/news-source/civil-squared-media-bias,Lean Left,
Civic Health Project,/news-source/civic-health-project-media-bias,Center,
Claire-Laure Belt,/news-source/claire-laure-belt-media-bias,Center,
CivilPolitics.org,/news-source/civilpoliticsorg,Center,
Clare Ashcraft,/news-source/clare-ashcraft-media-bias,Center,
Clara Nevins,/news-source/clara-nevins-media-bias,Lean Left,
Clay Bennett (cartoonist),/news-source/clay-bennett-cartoonist,Left,
Clarksdale Press Register,/news-source/clarksdale-press-register-media-bias,Center,
Clinton Herald,/news-source/clinton-herald-media-bias,Center,
Cleveland Plain Dealer,/news-source/cleveland-plain-dealer-media-bias,Center,
CNET,/news-source/cnet,Center,
CNBC,/news-source/cnbc,Center,-0.9
CNN (Opinion),/news-source/cnn-editorial,Left,-4.0
CNN (Online News),/news-source/cnn-media-bias,Lean Left,-2.0
CNN Fact Check,/news-source/facts-first-cnn-media-bias,Left,-4.0
CNN Business,/news-source/cnn-business-media-bias,Lean Left,-2.0
Cody Enterprise,/news-source/cody-enterprise-media-bias,Center,
CNSNews.com,/news-source/cnsnewscom,Right,4.0
CoinDesk,/news-source/coindesk-media-bias,Center,
Coffee Party USA,/news-source/coffee-party-usa-media-bias,Center,
Columbia Daily Tribune,/news-source/columbia-daily-tribune-media-bias,Center,
Colorado Springs Gazette,/news-source/colorado-springs-gazette,Center,
Columbia Missourian,/news-source/columbia-missourian-media-bias,Center,
Columbia Journalism Review,/news-source/columbia-journalism-review,Center,
Commerce City Sentinel Express,/news-source/commerce-city-sentinel-express-media-bias,Center,
Commentary Magazine,/news-source/commentary-magazine-media-bias,Right,4.0
Common Dreams,/news-source/common-dreams-media-bias,Left,-4.0
Committee to Protect Journalists,/news-source/committee-protect-journalists-media-bias,Center,
Complex,/news-source/complex-media-bias,Center,
Common Ground Committee,/news-source/common-ground-committee-media-bias,Center,
Complex,/news-source/complex-media-bias,Center,
Concord Monitor,/news-source/concord-monitor,Center,
Connecticut Post,/news-source/connecticut-post-media-bias,Center,
Concord Monitor,/news-source/concord-monitor,Center,
Conservative HQ,/news-source/conservative-hq,Right,4.0
Conor Friedersdorf,/news-source/conor-friedersdorf-media-bias,Center,
Cook Report,/news-source/cook-report,Center,
ContraPoints (Natalie Wynn),/news-source/contrapoints-natalie-wynn-media-bias,Left,
Corvallis Gazette-Times,/news-source/corvallis-gazette-times-media-bias,Center,
Corinna Cohn,/news-source/corinna-cohn-media-bias,Center,
Countable,/news-source/countable-media-bias,Center,
Council on Foreign Relations,/news-source/council-foreign-relations,Left,
Counterpointing,/news-source/counterpointing,Mixed,
Counter Currents,/news-source/counter-currents,Lean Left,-2.0
Cowboy State Daily,/news-source/cowboy-state-daily-media-bias,Lean Right,
Courier-Post,/news-source/courier-post-media-bias,Center,
Crunchbase News,/news-source/crunchbase-news-media-bias,Center,
CrowdPAC,/news-source/crowdpac,Center,
Cumberland Times-News,/news-source/cumberland-times-news-media-bias,Center,
CU Independent,/news-source/cu-independent,Center,
Daily Beast,/news-source/daily-beast-media-bias,Left,-4.1
Current Affairs,/news-source/current-affairs-media-bias,Left,-4.0
Daily Cardinal,/news-source/daily-cardinal,Center,
Daily Breeze,/news-source/daily-breeze-media-bias,Center,
Daily Citizen,/news-source/daily-citizen-media-bias,Right,4.0
Daily Chela,/news-source/daily-chela-media-bias,Left,-4.0
Daily Journal,/news-source/daily-journal-media-bias,Center,
Daily Corinthian,/news-source/daily-corinthian-media-bias,Center,
Daily Mail,/news-source/daily-mail,Right,4.0
Daily Kos,/news-source/daily-kos,Left,-4.0
Daily News-Record,/news-source/daily-news-record-media-bias,Center,
Daily Memphian,/news-source/daily-memphian-media-bias,Center,
Daily Northwestern,/news-source/daily-northwestern,Lean Left,-2.0
Daily Norseman,/news-source/daily-norseman-media-bias,Center,
Daily Progress,/news-source/daily-progress,Center,
Daily Press,/news-source/daily-press,Lean Right,2.0
DailyTrib.com,/news-source/dailytribcom-media-bias,Center,
Daily Targum,/news-source/daily-targum,Lean Left,-2.0
Dan Lucas,/news-source/dan-lucas,Right,
Damon Linker,/news-source/damon-linker,Lean Left,
Dan Meuser,/news-source/dan-meuser-media-bias,Right,
Dan McLaughlin,/news-source/dan-mclaughlin-media-bias,Right,
Dan Wasserman (cartoonist),/news-source/dan-wasserman-cartoonist,Left,
Dan Schnur,/news-source/dan-schnur-media-bias,Center,
Dana Summers (cartoonist),/news-source/dana-summers-cartoonist,Lean Right,
Dana Milbank,/news-source/dana-milbank,Left,
Daryl Davis,/news-source/daryl-davis-media-bias,Center,
Darvio Morrow,/news-source/darvio-morrow-media-bias,Lean Right,
Dave Yost,/news-source/dave-yost-media-bias,Lean Right,
Data for Progress,/news-source/data-progress-media-bias,Left,
David Brooks,/news-source/david-brooks,Lean Right,
David Axelrod,/news-source/david-axelrod-media-bias,Lean Left,
David Brooks,/news-source/david-brooks,Lean Right,
David French,/news-source/david-french-media-bias,Lean Right,
David Frum,/news-source/david-frum-media-bias,Lean Right,
David French,/news-source/david-french-media-bias,Lean Right,
David Holmes,/news-source/david-holmes,Lean Left,
David Harsanyi,/news-source/david-harsanyi-media-bias,Right,
David Leonhardt,/news-source/david-leonhardt,Lean Left,
David Ignatius,/news-source/david-ignatius,Center,
David Meyers,/news-source/david-meyers-media-bias,Center,
David Marcus,/news-source/david-marcus-media-bias,Right,
David Petraeus,/news-source/david-petraeus-media-bias,Center,
David Nevins,/news-source/david-nevins-media-bias,Center,
Dayton Daily News,/news-source/dayton-daily-news-media-bias,Center,
David Rothkopf,/news-source/david-rothkopf-media-bias,Lean Left,
Deadline,/news-source/deadline-media-bias,Center,
DCist,/news-source/dcist-media-bias,Center,
Debra Saunders,/news-source/debra-saunders,Right,
Debilyn Molineaux,/news-source/debilyn-molineaux-media-bias,Lean Left,
Delaware State News,/news-source/delaware-state-news-media-bias,Center,
Defense One,/news-source/defense-one-media-bias,Center,
Democracy Now!,/news-source/democracy-now,Left,-4.0
Delta Democrat Times,/news-source/delta-democrat-times-media-bias,Center,
Democratic Party,/news-source/democratic-party,Lean Left,
Democrat and Chronicle,/news-source/democrat-and-chronicle-media-bias,Center,
Derry News,/news-source/derry-news,Center,
Dennis Prager,/news-source/dennis-prager-media-bias,Right,
Deseret News,/news-source/deseret-news,Center,0.9
Des Moines Register,/news-source/desmoines-register,Center,
DeSmog,/news-source/desmog-media-bias,Lean Left,
Desiring God,/news-source/desiring-god-media-bias,Lean Right,2.0
Detroit Free Press,/news-source/detroit-free-press,Lean Left,-2.0
DetectFakeNews.com,/news-source/detectfakenewscom-media-bias,Center,
Detroit News,/news-source/detroit-news,Center,
Detroit Lakes Tribune,/news-source/detroit-lakes-tribune-media-bias,Center,
Diamond and Silk,/news-source/diamond-and-silk-media-bias,Right,
Deutsche Welle,/news-source/deutsche-welle-media-bias,Center,
Dick Locher (cartoonist),/news-source/dick-locher-cartoonist,Right,
Diamond and Silk,/news-source/diamond-and-silk-media-bias-0,Right,
Diplomatic Courier,/news-source/diplomatic-courier,Center,
Dick Morris,/news-source/dick-morris,Lean Right,
Divided We Fall,/news-source/divided-we-fall-media-bias,Mixed,
DiversityInc,/news-source/diversityinc-media-bias,Lean Left,
Dominic Pino,/news-source/dominic-pino-media-bias,Lean Right,
Divided We Fall (author),/news-source/divided-we-fall-author-media-bias,Mixed,
Dr. Abdul El-Sayed,/news-source/dr-abdul-el-sayed-media-bias,Left,
Douglas Murray,/news-source/douglas-murray-media-bias,Lean Right,
Drew Litton (cartoonist),/news-source/drew-litton-cartoonist,Center,
Dr. Ben Carson,/news-source/dr-ben-carson-media-bias,Lean Right,
Drudge Report,/news-source/drudge-report,Lean Right,2.0
Drew Sheneman (cartoonist),/news-source/drew-sheneman-cartoonist,Left,
Dylan Rose,/news-source/dylan-rose-media-bias,Center,
Duke Chronicle,/news-source/duke-chronicle,Center,
Dylan Rose,/news-source/dylan-rose-media-bias,Center,
E J Dionne,/news-source/e-j-dionne,Left,
E.J. Antoni,/news-source/ej-antoni-media-bias,Lean Right,
E J Dionne,/news-source/e-j-dionne,Left,
East Oregonian,/news-source/east-oregonian-media-bias,Center,
East Bay Times,/news-source/east-bay-times,Lean Left,-2.0
Economic Policy Institute,/news-source/economic-policy-institute,Left,
Ebony,/news-source/ebony-media-bias,Left,-4.0
Ed Rogers,/news-source/ed-rogers,Right,
Ed Kilgore,/news-source/ed-kilgore-media-bias,Lean Left,
Eddie Scarry,/news-source/eddie-scarry-media-bias,Right,
Ed Yong,/news-source/ed-yong-media-bias,Center,
Education Week,/news-source/education-week,Center,
Eden Prairie Local News,/news-source/eden-prairie-local-news-media-bias,Center,
Edward Morrissey,/news-source/edward-morrissey,Right,
EdVotes.org,/news-source/edvotesorg,Left,
Eli Pariser,/news-source/eli-parser-media-bias,Left,
El Paso Times,/news-source/el-paso-times-media-bias,Center,
Elie Mystal,/news-source/elie-mystal-media-bias,Left,
Eli Steinberg,/news-source/eli-steinberg-media-bias,Center,
Elle Magazine,/news-source/elle-magazine-media-bias,Lean Left,-2.0
Elizabeth Bruenig,/news-source/elizabeth-bruenig-media-bias,Left,
Emily Oster,/news-source/emily-oster-media-bias,Center,
Elvia Díaz,/news-source/elvia-d-az-media-bias,Left,
Environmental Defense Fund,/news-source/environmental-defense-fund,Lean Left,
Emporia Gazette,/news-source/emporia-gazette-media-bias,Center,
Eric Boehm,/news-source/eric-boehm-media-bias,Lean Right,
Eric Allie (cartoonist),/news-source/eric-allie-cartoonist,Right,
Erie Gay News,/news-source/erie-gay-news-media-bias,Lean Left,-2.0
Eric Holder,/news-source/eric-holder-media-bias,Lean Left,
Erraticus,/news-source/erraticus-media-bias,Center,
Erik Wemple,/news-source/erik-wemple,Center,
Esquire,/news-source/esquire,Left,-4.0
ESPN.com,/news-source/espn,Lean Left,-2.0
Ethan Horowitz,/news-source/ethan-horowitz-media-bias,Lean Right,
Estes Park Trail Gazette,/news-source/estes-park-trail-gazette,Center,
Eurek Alert,/news-source/eurek-alert,Center,
Eugene Robinson,/news-source/eugene-robinson,Left,
Evie Magazine,/news-source/evie-magazine-media-bias,Lean Right,2.0
Evansville Courier & Press,/news-source/evansville-courier-press-media-bias,Center,
Face the Facts USA,/news-source/face-facts-usa,Center,
Ezra Klein,/news-source/ezra-klein,Left,
FactCheck.org,/news-source/factcheckorg-media-bias,Center,
Fact Check Review (RealClearPolitics),/news-source/fact-check-review-realclearpolitics-media-bias,Center,
Fairmont Sentinel,/news-source/fairmont-sentinel-media-bias,Center,
FAIR,/news-source/fair-media-bias,Lean Left,-2.0
Family Research Council,/news-source/family-research-council,Lean Right,
Falls Church News - Press,/news-source/falls-church-news-press,Left,-4.0
Farhad Manjoo,/news-source/farhad-manjoo-media-bias,Lean Left,
Fareed Zakaria,/news-source/fareed-zakaria,Center,
FEE.org,/news-source/feeorg-media-bias,Lean Right,
Federation of American Scientists,/news-source/federation-american-scientists,Lean Left,
FEE.org,/news-source/feeorg-media-bias,Lean Right,
Financial Times,/news-source/financial-times-media-bias,Center,
Fiona Harrigan,/news-source/fiona-harrigan-media-bias,Center,
Financial Times,/news-source/financial-times-media-bias,Center,
Fiscal Times,/news-source/fiscal-times,Lean Right,2.0
First Draft News,/news-source/first-draft-media-bias,Center,
Florida Politics,/news-source/florida-politics-media-bias,Center,
FiveThirtyEight,/news-source/fivethirtyeight-0,Center,-0.4
Food Democracy Now,/news-source/food-democracy-now,Lean Left,
Floyd County Chronicle & Times,/news-source/floyd-county-chronicle-times-media-bias,Center,
Foreign Affairs,/news-source/foreign-affairs,Center,
Forbes,/news-source/forbes,Center,-0.5
Fort Worth Star-Telegram,/news-source/fort-worth-star-telegram-media-bias,Center,
Foreign Policy,/news-source/foreign-policy-media-bias,Center,
Forward,/news-source/forward-media-bias,Center,
Fortune,/news-source/fortune,Center,
Fox Business,/news-source/fox-business-media-bias,Lean Right,2.0
Foundation Against Intolerance and Racism,/news-source/foundation-against-intolerance-and-racism-media-bias,Center,
Fox News (Opinion),/news-source/fox-news-editorial-media-bias,Right,4.0
Fox News (Online News),/news-source/fox-news-media-bias,Right,3.7
Fox21,/news-source/fox21-media-bias,Center,
Fox News Latino,/news-source/fox-news-latino,Right,4.0
Frank Bruni,/news-source/frank-bruni,Lean Left,
Fox9,/news-source/fox9-media-bias,Center,
Franklin D. Kramer,/news-source/franklin-d-kramer-media-bias,Center,
Frank Miniter,/news-source/frank-miniter,Right,
Freakonomics,/news-source/freakonomics,Center,
Franklin Favorite,/news-source/franklin-favorite-media-bias,Center,
Free Beacon Fact Check,/news-source/free-beacon-fact-check-media-bias,Right,
Frederick News-Post,/news-source/frederick-news-post-media-bias,Center,
Freedom House,/news-source/freedom-house,Lean Right,
Free Press,/news-source/free-press-media-bias,Left,
Froma Harrop,/news-source/froma-harrop,Lean Left,
Frida Ghitis,/news-source/frida-ghitis-media-bias,Lean Left,
Gabrielle Giffords,/news-source/gabrielle-giffords-media-bias,Lean Left,
FrontPage Magazine,/news-source/frontpage-magazine,Right,4.0
Gallatin News,/news-source/gallatin-news-media-bias,Center,
Gainesville Sun,/news-source/gainesville-sun-media-bias,Center,
Gary Markstein (cartoonist),/news-source/gary-markstein-cartoonist,Center,
Gallup,/news-source/gallup,Center,
Gay City News,/news-source/gay-city-news-media-bias,Lean Left,-2.0
Gary Varvel (cartoonist),/news-source/gary-varvel-cartoonist,Right,
GayBuzzer,/news-source/gaybuzzer-media-bias,Center,
